drug,frequncy in AML
DB04216,1.6458772849053415e-05
DB02701,1.6367897247658676e-05
DB00030,1.6331489937751763e-05
DB09083,1.630326616498391e-05
DB00277,1.6296463539333844e-05
DB00141,1.627387021411526e-05
DB01143,1.6122739710859195e-05
hyaluronic-acid,1.5916207896396666e-05
DB01196,1.5809049412099592e-05
DB00515,1.5628661396591998e-05
DB00642,1.5605736784318815e-05
DB00360,1.552961973125997e-05
DB02546,1.5483346163624713e-05
DB09568,1.545415376757651e-05
DB09079,1.5364752336035122e-05
DB01179,1.4924506011184837e-05
gentamycin,1.4800348039836264e-05
DB03793,1.4666530506870953e-05
DB00039,1.4241498875017181e-05
DB00181,1.408835954739742e-05
DB08908,1.3972181281177011e-05
DB00993,1.3780805739502959e-05
DB00909,1.3647736195466581e-05
DB11748,1.3530795045707967e-05
DB00968,1.3227315791038405e-05
DB00541,1.3175717851254164e-05
DB00133,1.3155537628937058e-05
DB09401,1.3089836370767468e-05
melevodopa,1.3004101196553268e-05
DB00190,1.3004101196553268e-05
DB12783,1.3004101196553268e-05
DB13165,1.2524576475169745e-05
DB08888,1.2470116049970161e-05
DB01115,1.2366497880398496e-05
DB00480,1.2320154791852927e-05
DB09292,1.2241859479131308e-05
DB11696,1.2241859479131308e-05
DB00615,1.2225325776273568e-05
DB11994,1.2219906450249709e-05
DB11699,1.2131519230826007e-05
DB00491,1.1946727944362631e-05
DB00123,1.1563557028863982e-05
DB00819,1.1536805241824977e-05
DB00668,1.1265022356332991e-05
DB09085,1.098468500789469e-05
DB01296,1.0800532480077373e-05
DB00159,1.0798361759439842e-05
DB01033,1.0718891637940063e-05
DB00364,1.0430997309642097e-05
DB09140,1.0354413279510018e-05
DB00806,1.0253266356183305e-05
DB01041,1.0110526147841106e-05
DB00020,9.992954124774236e-06
DB09121,9.982895489223694e-06
DB00903,9.950024147278211e-06
DB01094,9.920543889876628e-06
DB00115,9.833915527631321e-06
DB00075,9.568472123474742e-06
DB01065,9.526163445379548e-06
DB05541,9.504086755335435e-06
DB02772,9.418821842411835e-06
DB00643,9.399656876015395e-06
DB08872,9.275773323749202e-06
DB00230,9.275773323749202e-06
DB04951,9.21300556787993e-06
DB00013,9.197672034639926e-06
DB00279,8.808597764890552e-06
DB01133,8.61344969653358e-06
DB06589,8.575841401288236e-06
DB00048,8.561041333411098e-06
DB00091,8.480955736061478e-06
DB00822,8.479576793494538e-06
DB11582,8.353104632874101e-06
DB06809,8.259854789173334e-06
DB00765,8.247040320428095e-06
