nodes,fostamatinib
GO:0008150,0.0005848098535315888
285220,0.0005838709241979579
22983,0.0005835734926044051
340156,0.0005828913582666662
8999,0.0005824799875221585
57144,0.0005824658021243674
4145,0.0005821886732666585
7465,0.0005820696699543427
23678,0.0005820231689853819
5260,0.000581665434315415
5128,0.0005813034040272909
53632,0.0005812225208357145
5298,0.000580051005423987
91754,0.0005797974566348353
55589,0.0005788145758027843
9088,0.0005776871657641931
388228,0.0005775230083593727
140,0.0005769130294457622
389840,0.0005767389207465846
341676,0.0005763509815421121
2444,0.0005746623860086483
4752,0.0005746607185358185
65975,0.000572503717296166
166614,0.0005707658846859085
80122,0.00056972317539158
85443,0.0005696267955587332
GO:0060271,0.0005634214455172914
GO:0043065,0.0005620793277159013
23390,0.0005511987600414666
GO:0043507,0.0005459458184995008
GO:0006366,0.0005422145925887851
7157,0.0005306633803432895
8530,0.000517378268091442
GO:0000381,0.00051342591615273
GO:0070374,0.0005043076451987804
GO:0051090,0.000492577426967583
GO:0050731,0.0004894754175702658
11140,0.0004874200307530094
GO:0009987,0.0004839502757018698
GO:0010976,0.00048162178942472123
GO:0033138,0.0004773737221948423
207,0.00046341644855705654
GO:0031647,0.0004623970103947112
GO:0045766,0.00046104951704524836
GO:0001932,0.00045485887747762234
GO:0036289,0.00045349869812992533
1994,0.0004499720689845351
GO:0000398,0.0004310588977335663
GO:0016477,0.000429130143761021
GO:0010923,0.0004281431018200549
GO:0010506,0.0004268051380934033
7514,0.0004240761658996812
GO:0001933,0.0004235280065759327
GO:1990938,0.0004183234073745028
GO:0006978,0.0004153275000485007
GO:0042981,0.0004150698692551895
GO:0035331,0.0004101270474660208
GO:0051973,0.00040699007994799324
2885,0.0003963351147202424
2100,0.00039281418786646605
3326,0.0003902068402062876
GO:0032212,0.0003872357478410989
GO:0043154,0.00038502077764170653
GO:0016572,0.00038470910918534285
GO:0007169,0.000383458355075867
GO:0030097,0.00037885647851932514
4609,0.0003780692465229101
GO:0000226,0.00037641592001253925
GO:0031954,0.00036460134815921824
7422,0.0003599847389496728
GO:0006914,0.00035740101463506955
GO:0043406,0.0003526119572931692
1020,0.0003492802403570745
GO:0043161,0.00034919375413903044
GO:0006351,0.0003486660042699809
GO:0006508,0.0003474061878380832
GO:2000786,0.00034490640119605166
GO:0010629,0.00034144818253248045
GO:0032467,0.00034018116941958215
GO:0000209,0.00033997049716308786
GO:0007257,0.0003374166792213407
GO:0031952,0.0003372295741338134
GO:0031953,0.00033674273562832123
GO:0023014,0.0003367296465185726
GO:1990579,0.0003353626613686429
GO:0031532,0.00033404224852525436
GO:0033120,0.00033284343209929134
GO:0045860,0.00033172493871518857
GO:0060389,0.0003300334709643455
GO:0043410,0.00032751677986143864
57154,0.0003237720534274385
GO:2000234,0.00032340871528620566
GO:0042997,0.00032313833515143774
GO:0048013,0.00032310954526125544
GO:0006470,0.00032222321508716944
GO:0043433,0.00032158393786727377
GO:0006796,0.00032020892941124875
GO:0010998,0.0003191589046605011
652,0.00031907872972967977
GO:0010468,0.00031794931456880854
