nodelist,diff_AML,fostamatinib,lasofoxifene,zinc,L-glutamic acid,protein_product_fost,protein_product_laso,protein_product_zinc,protein_product_glut
1499,0.00033502366166922526,0.00021410835098446376,0.00026198733984708964,0.0001628603330322393,0.00019113056798271037,7.173136374077472e-08,8.777195790655169e-08,5.456206511313029e-08,6.403326274248642e-08
5925,0.00013158316536012574,8.068444867423102e-05,9.836910042360367e-05,8.951081401643213e-05,3.8265601470287476e-05,1.0616715151891919e-08,1.2943717607365857e-08,1.177811624224365e-08,5.035108965869507e-09
1026,0.0001007793831956659,0.0001187133620842145,6.715671367470346e-05,0.00016814383104510287,5.7838609805907245e-05,1.1963859407930889e-08,6.768012181584556e-09,1.6945431580881728e-08,5.828939421134126e-09
10166,2.839747516071169e-05,7.3958270574431115e-06,1.1565802120952221e-05,4.425724163760458e-05,7.586323269807287e-06,2.100228151566602e-10,3.284395784434473e-10,1.2567939200854912e-09,2.154324266154815e-10
1017,0.000322437883535537,0.00018375878035827725,9.311279470075136e-05,0.00018092322078503334,0.00019381772869012462,5.925079221979453e-08,3.0023092453389234e-08,5.833650039235883e-08,6.249417823050871e-08
9146,8.520392917563542e-05,9.031060494150057e-05,3.783550231142007e-05,7.133246448179264e-05,4.953089181887631e-05,7.694818387244406e-09,3.223733459266826e-09,6.0778062516301895e-09,4.220226598541597e-09
3486,1.9519709507996555e-05,3.9940868787879685e-05,9.67274205733544e-06,0.0002171949049787434,1.1430357915960715e-05,7.796341562364179e-10,1.8880911510496873e-10,4.239581451801986e-09,2.2311726609198206e-10
1277,5.443011835364742e-05,4.188167929499153e-05,2.625163051959215e-05,5.17799461496058e-05,2.490356398085626e-05,2.2796247608758934e-09,1.4288793561576234e-09,2.8183885972685336e-09,1.355503934905637e-09
819,3.1496190913333725e-06,5.182352364457853e-06,1.7854775687813693e-06,2.3629199375670747e-06,3.0764681156528512e-06,1.6322435945113095e-11,5.623574237781295e-12,7.442297746653519e-12,9.689702710938626e-12
1445,4.034571781675627e-05,0.0007471749621330361,1.9703359205959896e-05,4.0136462367559824e-05,2.2063212393563026e-05,3.0145310181965027e-08,7.949461705658449e-10,1.619334384844426e-09,8.901561413618535e-10
3643,7.1399244462319e-05,0.0007404066841481271,4.87605481385742e-05,0.00012549650929304134,5.6280672263190004e-05,5.2864477843027136e-08,3.481466296662733e-09,8.960355946181546e-09,4.018397477423159e-09
3480,7.118056503022888e-05,0.00015010723636073542,5.171393332439065e-05,7.920211260038363e-05,5.6037457150085025e-05,1.0684717899283265e-08,3.681026993965709e-09,5.637651126483117e-09,3.988777862800291e-09
1634,3.0344540983079032e-05,2.4483711294902046e-05,1.308635190497954e-05,4.5903646971723764e-05,1.3576637650665073e-05,7.429469808060301e-10,3.97099341699646e-10,1.3929250968062635e-09,4.1197683760302016e-10
1956,0.0003386885731677402,0.0011874446994744278,0.00034418210572048717,0.0008225112297295116,0.0010009170648561875,4.0217395098058997e-07,1.165705462963401e-07,2.785751548115316e-07,3.389991725553846e-07
5111,6.614329228277647e-05,7.571936971956559e-05,3.899562189867396e-05,9.52842560685731e-05,4.1091392370257735e-05,5.008328402828841e-09,2.5792988169926303e-09,6.302414399090548e-09,2.7179199758522083e-09
7155,1.8165892938486498e-05,1.0098785186450888e-05,2.846842450200422e-05,1.5192870170992113e-05,8.563844068735807e-06,1.8345345050584024e-10,5.171543516307945e-10,2.759920529545678e-10,1.5556987449454728e-10
1915,0.000107843114842062,7.80947637930981e-05,5.347344871632677e-05,0.001704816064270173,6.419083751516347e-05,8.421982580302783e-09,5.7667432709159406e-09,1.8385267460368042e-07,6.9225398619559155e-09
3791,9.791816317635613e-05,0.0007272107595700946,4.0569363071010055e-05,7.878009839053627e-05,6.146102369150481e-05,7.12071418191864e-08,3.9724775131479986e-09,7.71400252925392e-09,6.0181505468106584e-09
2099,0.0006372437072750222,0.0002318572794831978,0.06634518053309783,0.001772698128491799,0.00010998456964880356,1.477495923365739e-07,4.2278048802741895e-05,1.1296407272796077e-06,7.008697490605147e-08
2260,5.688169002468857e-05,0.0006984425094793396,2.7480672546740807e-05,4.499709780272713e-05,9.017403942975583e-05,3.9728590324269404e-08,1.5631470974736796e-09,2.5595109692253197e-09,5.129251759117416e-09
2224,1.3662410251224225e-05,7.330957660703035e-06,3.495137536371342e-06,6.2187859831907376e-06,1.0097797851044557e-05,1.0015855109487991e-10,4.77520029063584e-11,8.496360536691465e-11,1.379602568749011e-10
