nodes,L-glutamic acid
4914,0.0006292796395864976
GO:0051289,0.0006146773420644528
GO:0048149,0.000612679701358127
GO:0071346,0.0006105298676236154
GO:0055114,0.0006055680644187847
GO:0042981,0.0005916653063609313
GO:0016477,0.0005888106865485201
GO:0070189,0.0005840927295199484
9401,0.0005818054359981769
GO:0007268,0.0005786727707763503
GO:0016567,0.0005604785365357551
9463,0.0005574764549456846
GO:0051938,0.0005568385179952782
6386,0.0005561236217094266
4609,0.0005547140720129415
GO:0043648,0.0005463138730048033
GO:0006468,0.0005462135121084274
GO:0006433,0.000539865166356204
GO:0042493,0.0005397865142625112
GO:0007605,0.0005327872645358923
GO:0006760,0.0005245008456521725
GO:0008284,0.0005147330955142178
2495,0.0005121573527914265
GO:0050804,0.0005092853691146818
GO:0051965,0.0005075315887753141
7706,0.0005051740603374935
GO:0050806,0.0004908416121334798
GO:1900454,0.0004873086236314101
GO:0006543,0.0004772534622502591
GO:1904861,0.00047677453312198255
10425,0.0004730146897945104
GO:0140009,0.00046889622658388767
3091,0.000460337309173346
GO:2000212,0.00045934346316930816
GO:1902476,0.00045866506646223326
GO:0046901,0.0004518117412325212
GO:0048172,0.0004488540632195761
9826,0.00044766079749486724
23426,0.0004450433080866571
GO:0043065,0.00043922532885480977
10499,0.00043805395462763686
1072,0.0004351118282282481
GO:0032024,0.00043394958425310796
GO:0072593,0.0004185387916855622
3329,0.0004162982277194243
GO:0006979,0.00041064669840831493
823,0.00040841832759559076
GO:0070207,0.0004045752642124092
GO:0003081,0.0004031543486742269
GO:0006572,0.0003973069130038079
GO:0042221,0.00039695534578102073
GO:0043039,0.0003965613681657878
GO:0006561,0.00039183437231937566
GO:0008285,0.0003911507942807778
2710,0.0003906907171974935
8452,0.00038341277161352776
286016,0.0003828020477836128
GO:0010628,0.00038112632674193995
GO:0043649,0.0003809849384160983
GO:0010923,0.00037870640442655337
GO:0006750,0.0003714040778379625
GO:0006366,0.00036537242473033547
2100,0.0003557781683593125
GO:0051260,0.0003554080202656697
GO:0070588,0.00035471941056440824
6047,0.00035439369872855705
5898,0.00035288752546041403
1994,0.0003520857459623336
GO:0019240,0.0003494283796949855
GO:0009987,0.0003481148031811352
5578,0.00034741925267182196
GO:0006355,0.0003470488791688028
283459,0.00034618612007095763
GO:0050880,0.00034366248612169845
8942,0.000342101327494407
112611,0.0003411380137976268
GO:0060402,0.00033759206092458043
GO:0051482,0.00033680959840663455
163786,0.00033633653752708774
GO:0000209,0.00033333926796285415
GO:0007165,0.00033291794178732126
5868,0.0003322959587885244
55278,0.0003322705140950731
9343,0.0003293700962960926
801,0.00032910344560117035
8317,0.00032903276940131744
GO:0006592,0.0003275469271369827
GO:1904891,0.00032682503787596125
GO:0006812,0.0003256275300105708
GO:0045931,0.0003214388719538033
GO:0000398,0.0003208707438624641
1644,0.0003196853414985488
GO:0042149,0.0003178051386321341
1741,0.0003177829317625539
GO:0006412,0.0003156303010670737
GO:0050821,0.0003153772326792416
GO:0038042,0.00031403492619045325
1740,0.0003139901217150481
GO:0043161,0.00031356195697441406
GO:0006357,0.0003114119121008485
GO:0006974,0.0003111641686735532
5170,0.00030972435399039856
7316,0.0003072734662563012
GO:0006915,0.0003071266305789836
7157,0.0003046819937149052
GO:0042853,0.0003030213734571493
GO:0002181,0.0003008328963562938
GO:0043123,0.0002995269178230251
GO:0009064,0.0002953975896611004
GO:0089718,0.0002937312392020364
GO:2000211,0.0002930974992561384
GO:0051091,0.00029275112374577996
55006,0.0002902942104426347
GO:0071805,0.00028751425577146705
GO:0007257,0.0002850788084575016
5566,0.0002849396456078291
GO:0006461,0.0002828752913248366
10588,0.0002822958987021159
80230,0.00028195144573870795
GO:0065008,0.00028150489994095603
GO:0019441,0.00028032572006733654
5581,0.00027889671974369183
183,0.0002775257925000042
8564,0.0002767815721438389
GO:0051092,0.00027529999915522894
7476,0.0002730347930570282
54998,0.00027263745022346604
682,0.00027259694215757554
25902,0.0002721913669286894
4343,0.00027098242449818656
GO:0035195,0.0002680466491437537
4142,0.0002676093546014098
GO:0006529,0.00026630907965584355
3265,0.00026617439459272486
2885,0.0002640759244334428
GO:0006464,0.0002631873498778879
GO:1905429,0.00026233678635048977
GO:0060271,0.00026180165318861353
GO:0007204,0.0002602795419887264
4171,0.00025966600388724586
85300,0.0002569624123496679
GO:0051259,0.0002555598203185114
7415,0.00025456731760083585
GO:0007166,0.0002542782830834
122970,0.00025339320356300107
GO:0006351,0.0002528812586963786
GO:0031647,0.0002517879028271157
GO:0051186,0.0002512829757100586
GO:0006531,0.0002505956576882038
GO:0009068,0.0002489672895947938
GO:0010629,0.00024608740177286766
63891,0.00024352123930068207
2776,0.00024141267032249357
664,0.00024137834385422137
GO:1901094,0.00024122310458522803
GO:0008152,0.00024012618412698803
GO:0046653,0.00023381270453562677
GO:0030335,0.00023300900462327264
6188,0.000229706499499386
GO:0050896,0.00022967316877079116
55011,0.00022962787155964912
GO:0050910,0.00022921867292160236
3845,0.00022727030769708817
GO:0001934,0.00022720986556911676
10273,0.00022594624372558882
GO:2000009,0.0002257750332731902
GO:0060333,0.00022536212835216096
GO:0045862,0.00022480929447219467
382,0.0002244313289578916
7226,0.00022369837079559557
GO:0045184,0.00022359999979670644
GO:1905665,0.00022317270333241268
2678,0.00022127447062634815
