nodelist,protein_product_zinc,
55869,5.59E-08,
1612,5.55E-08,
1499,5.46E-08,
1436,5.39E-08,
4928,5.29E-08,
6281,5.25E-08,
3818,5.24E-08,
9343,5.09E-08,
213,5.07E-08,
2161,5.05E-08,
3312,5.03E-08,
53826,5.02E-08,
3265,4.96E-08,
3815,4.93E-08,
5444,4.91E-08,
6406,4.88E-08,
5245,4.86E-08,
5052,4.82E-08,
333,4.74E-08,
2308,4.71E-08,
7018,4.70E-08,
226,4.69E-08,
2274,4.55E-08,
3040,4.51E-08,
1437,4.42E-08,
6622,4.41E-08,
10919,4.40E-08,
1902,4.33E-08,
3479,4.33E-08,
120892,4.30E-08,
1832,4.27E-08,
6714,4.18E-08,
8021,4.11E-08,
3493,4.08E-08,
6688,4.05E-08,
1736,4.02E-08,
55011,3.98E-08,
6840,3.98E-08,
928,3.97E-08,
4763,3.93E-08,
10551,3.90E-08,
112399,3.86E-08,
3320,3.76E-08,
7057,3.76E-08,
3178,3.75E-08,
6278,3.74E-08,
79155,3.73E-08,
2026,3.67E-08,
3849,3.66E-08,
824,3.61E-08,
4088,3.57E-08,
4171,3.57E-08,
3303,3.52E-08,
1495,3.51E-08,
481,3.41E-08,
894,3.38E-08,
7167,3.32E-08,
5071,3.25E-08,
11168,3.24E-08,
862,3.22E-08,
63891,3.21E-08,
867,3.21E-08,
406991,3.17E-08,
2932,3.17E-08,
7280,3.14E-08,
3507,3.13E-08,
10125,3.12E-08,
10987,3.12E-08,
388697,3.06E-08,
308,3.02E-08,
840,2.99E-08,
25,2.99E-08,
51119,2.91E-08,
4343,2.89E-08,
3725,2.89E-08,
7422,2.86E-08,
6446,2.85E-08,
998,2.84E-08,
10482,2.84E-08,
7189,2.79E-08,
5728,2.74E-08,
733,2.73E-08,
8517,2.67E-08,
1660,2.65E-08,
1522,2.63E-08,
10801,2.63E-08,
9401,2.59E-08,
10614,2.52E-08,
309,2.52E-08,
51547,2.50E-08,
5465,2.48E-08,
7428,2.46E-08,
2672,2.46E-08,
11326,2.46E-08,
3192,2.44E-08,
5597,2.44E-08,
6667,2.44E-08,
678,2.42E-08,
5578,2.41E-08,
7329,2.40E-08,
7249,2.40E-08,
6462,2.39E-08,
64324,2.39E-08,
6045,2.38E-08,
7042,2.35E-08,
857,2.35E-08,
30845,2.34E-08,
7276,2.32E-08,
5155,2.32E-08,
2146,2.31E-08,
79184,2.30E-08,
727,2.29E-08,
10013,2.29E-08,
3091,2.26E-08,
3562,2.25E-08,
865,2.23E-08,
7534,2.21E-08,
125115,2.20E-08,
51510,2.17E-08,
4255,2.16E-08,
6678,2.16E-08,
1978,2.15E-08,
5170,2.11E-08,
3848,2.10E-08,
6872,2.09E-08,
8450,2.07E-08,
3329,2.06E-08,
3309,2.05E-08,
6223,2.04E-08,
5580,2.01E-08,
1540,2.01E-08,
7175,1.98E-08,
9370,1.98E-08,
7402,1.96E-08,
4734,1.96E-08,
1107,1.95E-08,
6422,1.92E-08,
11200,1.92E-08,
5142,1.91E-08,
864,1.91E-08,
23064,1.91E-08,
10618,1.89E-08,
25980,1.88E-08,
59272,1.87E-08,
301,1.86E-08,
65018,1.85E-08,
3146,1.82E-08,
23028,1.82E-08,
581,1.79E-08,
3861,1.79E-08,
4690,1.79E-08,
203068,1.79E-08,
148327,1.78E-08,
725,1.76E-08,
6188,1.76E-08,
2150,1.74E-08,
5997,1.74E-08,
7532,1.73E-08,
3417,1.73E-08,
60,1.72E-08,
2255,1.72E-08,
51574,1.70E-08,
4350,1.69E-08,
1026,1.69E-08,
10488,1.69E-08,
5469,1.69E-08,
3398,1.69E-08,
2064,1.68E-08,
4790,1.67E-08,
1387,1.66E-08,
3837,1.66E-08,
3326,1.66E-08,
10273,1.66E-08,
5340,1.64E-08,
51341,1.64E-08,
1459,1.59E-08,
7186,1.59E-08,
6472,1.59E-08,
10572,1.58E-08,
22938,1.58E-08,
6772,1.58E-08,
3852,1.58E-08,
3857,1.56E-08,
6310,1.56E-08,
5468,1.55E-08,
55294,1.55E-08,
3853,1.55E-08,
2316,1.54E-08,
988,1.53E-08,
