drugs,proximity
DB11273,0.9532203788321736
DB00370,0.9532524371794947
DB01411,0.9536003103470989
DB00242,0.9537913126162662
DB11994,0.9538245107851832
DB01224,0.9538459173825452
DB03754,0.953877585529508
DB00246,0.9539432374637499
DB00543,0.9540732853635545
DB01238,0.9543618727703035
thiostrepton,0.9543778542076212
DB06819,0.9544408283976251
DB00075,0.9546862414034346
DB06148,0.9546909853351073
DB00248,0.9547515365718036
DB00909,0.9550481027934316
DB01151,0.955236078342488
DB00013,0.9553009670751301
DB00726,0.9553063927550974
DB01118,0.9554589423020982
DB09462,0.9556161395999115
DB00129,0.9556609338055813
DB00996,0.9556609535363659
DB00741,0.9556797293907413
DB01267,0.9557271665357998
DB01142,0.955778721599335
DB00151,0.9558345301659784
DB00119,0.9560091125416388
DB04519,0.9560543185894465
DB09064,0.9560543185894465
DB08983,0.9560543185894465
DB00056,0.9562354210534137
DB00734,0.9563447577765026
DB00020,0.9565066418119278
DB01220,0.9566922669904918
DB13179,0.9566922669904918
DB01200,0.9567258126059702
DB00244,0.9567616448602055
DB00458,0.9573493429288109
DB09331,0.957765079482868
DB01250,0.9578899031567768
DB00668,0.9580361480030072
DB06626,0.9580762937581004
DB03904,0.9581120674730617
DB06777,0.9582181584743825
DB00696,0.9582778458257524
DB00128,0.9583044467405906
DB00970,0.9583969336119571
DB01186,0.9584259265055678
DB00288,0.9585195767322421
DB04115,0.9585343395520427
DB01115,0.9586403103509558
DB09301,0.9586557721450855
DB00795,0.9587517007909625
DB00480,0.9591191077857424
DB00279,0.9592988981556532
DB00324,0.9594382340444769
DB01222,0.9594382340444769
DB00223,0.9594382340444769
DB00596,0.9594382340444769
DB00180,0.9594382340444769
dexamethasone-sodium-phosphate,0.9594382340444769
cortisone,0.9594382340444769
DB00591,0.9594382340444769
DB00838,0.9594382340444769
hydrocortisone-butyrate,0.9594382340444769
DB00253,0.9594382340444769
clobetasone-butyrate,0.9594382340444769
DB08906,0.9594382340444769
DB00873,0.9594382340444769
DB00394,0.9594382340444769
prednisolone-sodium-phosphate,0.9594382340444769
DB01380,0.9594382340444769
methylprednisolone-aceponate,0.9594382340444769
DB00443,0.9594382340444769
DB00959,0.9594382340444769
DB00240,0.9594382340444769
