drugs,proximity
DB01589,0.07133655112437766
DB01215,0.07133655112437766
DB00801,0.07133655112437766
DB00087,0.07134569365017444
DB00028,0.07144154545788892
DB00255,0.07146165358708453
DB00311,0.07171764184709398
DB00092,0.07178393283113443
DB00434,0.07182943462357523
DB09221,0.07185305706321855
DB00599,0.07186684046402846
DB00112,0.07210210590876885
DB00531,0.07211751762177396
DB00095,0.0721180319586612
DB00619,0.0722136395806067
DB00472,0.07246659650685859
DB00564,0.07247460849059759
DB01050,0.07248815346397285
DB00503,0.07258023444004995
hyaluronic-acid,0.0728673972063398
DB00292,0.0728951765755334
DB00081,0.07312425872886003
DB00920,0.07312696444299119
DB01149,0.07315724769295735
DB00163,0.07333552935647432
DB00402,0.0734454370982155
DB00186,0.0734454370982155
DB00141,0.07352242336009068
