drugs,proximity
DB00286,8035.841306830091
DB01357,8035.841306830091
DB14006,8041.758562760531
DB00122,8041.758562760531
DB08868,8044.609436530959
DB01065,8045.554395602516
DB06713,8050.817920170034
DB09301,8052.0044634359
DB01183,8066.1827776209575
DB00118,8066.709294553384
DB06809,8067.273820720466
DB00514,8069.438081711878
DB06626,8075.519580534094
DB00039,8082.562665613268
DB00136,8087.776777022734
DB02701,8088.350001437042
DB00448,8088.407087562395
DB01406,8088.958365946574
DB00877,8091.531193875961
DB09401,8103.487795329121
DB00412,8103.576597180789
DB06674,8106.727053283068
DB00065,8106.727053283068
DB08904,8106.727053283068
DB01077,8111.107735800111
DB00787,8111.651181310683
DB00046,8123.657325945127
DB00047,8123.657325945128
DB01050,8137.6087225741
DB04878,8140.226418934429
DB00119,8140.887028357351
DB00083,8144.644836004993
DB00367,8149.386218626489
DB06151,8149.386246534054
DB00337,8164.471920253021
DB08867,8175.538330142734
DB00834,8175.591386123493
DB00244,8192.808266174368
DB08910,8193.843422289441
DB00762,8194.71659357965
DB01030,8194.71659357965
DB13873,8199.379025593815
DB01083,8199.566501969286
DB00624,8199.693015398127
DB13943,8199.693015398127
DB00364,8204.138969285972
DB00882,8206.473898183953
DB00539,8206.473898183953
DB00890,8206.473898183955
DB00841,8208.319848568333
DB00123,8213.88165442476
DB00151,8215.580456226127
cyclosporin-a,8217.408376122548
DB01097,8223.00243866489
DB01039,8233.882107447076
DB00893,8237.677453115703
gentamycin,8240.02724199288
DB01234,8240.342430371027
DB00966,8241.13868647059
DB00159,8244.144683929115
DB00013,8244.31083721123
DB08881,8244.605976806672
DB00157,8248.983846484498
DB09198,8249.55441907634
tebipenem,8258.69495550525
DB03017,8263.97228969775
DB01431,8265.616223428084
DB00642,8271.897080262574
DB00313,8272.66517506372
DB00523,8273.192162367635
DB01356,8274.454486925239
DB00125,8287.340471709445
L-Arginine,8287.340471709445
DB00145,8294.279126668946
DB09123,8295.219000027031
DB00603,8295.448362452018
DB00304,8295.448362452018
DB00823,8295.448362452018
DB00132,8302.132951042662
DB01393,8302.61101451393
DB09091,8302.697092034532
DB00903,8306.47571962411
DB00170,8317.260911355252
DB00499,8319.378179036928
DB09006,8323.403891576923
DB06287,8336.30915981037
DB01590,8336.30915981037
DB00328,8343.126991391937
hyaluronic-acid,8347.260696180705
bucladesine,8348.331834690434
DB11157,8351.361696987604
DB00459,8356.723746614924
DB00640,8357.62654175886
DB00836,8358.716558642345
DB06243,8360.819451474159
DB00141,8362.562709986809
