nodes,lasofoxifene
GO:2000820,0.00035395324940319005
4988,0.0003527460462886367
5583,0.00035058785419281037
156,0.000348422542764342
5579,0.00034755496038707615
2149,0.0003473253006605573
1956,0.00034418210572048717
GO:1900387,0.0003421473427535898
GO:1904595,0.0003404021630299858
406891,0.0003391533045491736
23064,0.0003385520598239949
4308,0.000336911324988206
1268,0.0003365352133513429
51547,0.0003353918754229661
4986,0.0003349216278206766
3579,0.0003346155978447963
1129,0.0003343104856295034
5582,0.00033412303132275144
GO:0065009,0.00033352370067375254
5581,0.0003327375948105318
4985,0.00033252328902834215
5588,0.0003313504772051734
GO:2000824,0.00032851177657148775
GO:0010468,0.00032139462223946717
GO:0008285,0.00032009705764445717
GO:0042347,0.00031874768880324467
GO:0033148,0.0003129525465245291
GO:0032088,0.0003102817314567055
2914,0.00030902466631725265
GO:0007200,0.00030875446921435715
3577,0.00030841489562577457
5997,0.00030797189958032455
GO:0006367,0.0003027266907049544
7265,0.00030094909742055975
59340,0.00029717525539980173
2912,0.00029581503296771363
3146,0.00029428179354240206
1241,0.00029417067664905326
GO:0043065,0.0002940296395049449
GO:0034502,0.00028985957513677713
GO:0009987,0.00028982041337335924
GO:0033147,0.0002842408277841657
GO:0002181,0.000280410969000768
GO:0051123,0.00027971675114992097
GO:0000381,0.00027930243563743795
GO:0043123,0.00027659404174245255
GO:0010467,0.0002762783711572125
8896,0.0002714998696211945
GO:0007186,0.00026328267552145474
GO:0033146,0.00026224599499430394
5465,0.0002622416221730063
GO:0050821,0.0002622041949561566
1499,0.00026198733984708964
4609,0.0002545689612109652
2033,0.000253998796650302
GO:0000209,0.0002524575903510112
GO:0046907,0.0002512510525683882
80149,0.000249930768861485
672,0.000248149769038268
5025,0.000247786138419492
6591,0.00024590050853775223
GO:0035195,0.0002449080642872243
GO:0007165,0.0002447471390250409
5027,0.00024470954858827834
1906,0.00024384476389441274
7222,0.00024325769186384432
GO:0045898,0.00024178310265046788
1812,0.0002412136623732589
GO:0017055,0.00024055667266256484
25,0.0002374220572680913
GO:0043161,0.00023622040476300324
1994,0.0002361445538962345
