nodes,zinc
GO:0006977,0.00015067607332814423
GO:0051044,0.00015039271368081438
GO:1902175,0.0001503745347844006
1511,0.00015037378573935304
GO:1901318,0.0001500278062831536
GO:0018108,0.00014993676365468607
1108,0.00014983088156342973
5578,0.0001497467089157198
GO:0070372,0.0001496455153036196
3611,0.00014952681138340066
3091,0.00014948229003193265
GO:0097190,0.0001494287790253372
4869,0.00014941013084188243
GO:0043547,0.00014907998534663565
2932,0.00014893347652655345
GO:0042493,0.00014885024258907737
966,0.00014826998625186143
GO:0030194,0.00014819209270790288
7534,0.00014794981474714497
GO:0042254,0.00014792397654508302
4057,0.00014786555169456873
3725,0.00014783021022264948
GO:0006513,0.00014771822700920736
8454,0.0001471960435506341
GO:0000380,0.00014698223196337232
GO:0030433,0.00014640831465941677
7917,0.0001463263468120384
1284,0.0001462716206536972
3192,0.00014551511780331553
56257,0.00014545375294997424
GO:0048518,0.00014536255909635798
6667,0.00014528459294084754
112609,0.00014508269855685666
GO:0010875,0.00014449899277553066
25980,0.00014410680013951808
3817,0.00014262392731001828
GO:0007569,0.00014253238023613575
55832,0.00014231551042768792
4343,0.00014225622202355961
GO:2001238,0.00014216351104454628
GO:0046470,0.00014167658779943695
4313,0.0001416088834999891
9401,0.00014156629894308102
1508,0.00014128760030988324
GO:0006954,0.000140964294540572
9248,0.00014089551048086018
8453,0.00014064492417204606
GO:0050817,0.00014055322867835972
7428,0.00014010915169929727
84659,0.0001400025411541901
GO:0006096,0.0001396772014405414
GO:0032464,0.00013944095690852234
GO:0051603,0.00013940045384301027
5054,0.00013913433367436785
GO:0034446,0.00013903055476818403
5914,0.00013849711510746264
857,0.00013831913204652858
GO:0032967,0.00013822749141203386
GO:0010923,0.00013797415293193008
6464,0.00013756478927639122
6118,0.00013744449971609028
GO:0080009,0.00013684803698561334
GO:0071480,0.000136385995910661
3845,0.00013622910057542887
5155,0.00013593181274920786
331,0.00013538879952127724
60,0.00013532539056084066
1398,0.00013519740634123625
10482,0.0001350245151155097
GO:0008104,0.0001350221577242595
2244,0.00013495546727105046
6872,0.0001349483823476585
