nodelist,protein_product_fost,
54915,1.71E-10,
57326,1.70E-10,
8898,1.70E-10,
56270,1.70E-10,
29102,1.70E-10,
1192,1.70E-10,
80739,1.69E-10,
79092,1.69E-10,
55697,1.69E-10,
10380,1.69E-10,
57461,1.69E-10,
9877,1.69E-10,
55257,1.69E-10,
9373,1.69E-10,
645455,1.69E-10,
1075,1.69E-10,
10813,1.68E-10,
342371,1.68E-10,
978,1.68E-10,
79600,1.68E-10,
5090,1.68E-10,
286128,1.68E-10,
118881,1.68E-10,
55501,1.68E-10,
3267,1.68E-10,
149428,1.68E-10,
81567,1.68E-10,
9632,1.67E-10,
1268,1.67E-10,
22934,1.67E-10,
55802,1.67E-10,
63928,1.67E-10,
7027,1.67E-10,
6742,1.67E-10,
1129,1.67E-10,
112936,1.67E-10,
64919,1.67E-10,
55761,1.67E-10,
173,1.67E-10,
261726,1.67E-10,
2882,1.67E-10,
345757,1.66E-10,
7164,1.66E-10,
4868,1.66E-10,
51517,1.66E-10,
80267,1.66E-10,
149371,1.66E-10,
84219,1.66E-10,
25974,1.66E-10,
148022,1.66E-10,
7039,1.66E-10,
9631,1.66E-10,
8372,1.66E-10,
573971,1.66E-10,
8566,1.66E-10,
90362,1.66E-10,
5338,1.66E-10,
3350,1.66E-10,
3239,1.65E-10,
1960,1.65E-10,
10112,1.65E-10,
9232,1.65E-10,
80326,1.65E-10,
55003,1.65E-10,
4535,1.65E-10,
51099,1.65E-10,
400961,1.65E-10,
23176,1.65E-10,
728937,1.65E-10,
146822,1.64E-10,
79269,1.64E-10,
55818,1.64E-10,
79834,1.64E-10,
9378,1.64E-10,
1780,1.64E-10,
9681,1.64E-10,
26292,1.64E-10,
284058,1.64E-10,
8192,1.63E-10,
6173,1.63E-10,
55536,1.63E-10,
124220,1.63E-10,
2138,1.63E-10,
6275,1.63E-10,
10556,1.63E-10,
3232,1.63E-10,
8227,1.63E-10,
6873,1.63E-10,
56850,1.63E-10,
135644,1.63E-10,
91445,1.63E-10,
55107,1.62E-10,
5470,1.62E-10,
55715,1.62E-10,
55388,1.62E-10,
1949,1.62E-10,
51293,1.62E-10,
4935,1.62E-10,
4739,1.62E-10,
54815,1.62E-10,
9184,1.62E-10,
5320,1.62E-10,
57026,1.61E-10,
11219,1.61E-10,
8819,1.61E-10,
1163,1.61E-10,
4314,1.61E-10,
9208,1.61E-10,
51434,1.61E-10,
26233,1.61E-10,
9585,1.61E-10,
80764,1.61E-10,
1852,1.61E-10,
5066,1.61E-10,
5711,1.61E-10,
56001,1.60E-10,
2983,1.60E-10,
10580,1.60E-10,
79924,1.60E-10,
54894,1.60E-10,
2977,1.60E-10,
10363,1.60E-10,
79142,1.60E-10,
3563,1.60E-10,
29984,1.60E-10,
57531,1.60E-10,
4234,1.60E-10,
10788,1.60E-10,
79677,1.60E-10,
55738,1.60E-10,
123879,1.60E-10,
79902,1.60E-10,
54828,1.60E-10,
124912,1.60E-10,
10572,1.60E-10,
54602,1.60E-10,
84168,1.60E-10,
215,1.60E-10,
85015,1.60E-10,
22937,1.59E-10,
155,1.59E-10,
22905,1.59E-10,
9997,1.59E-10,
4117,1.59E-10,
114294,1.58E-10,
26610,1.58E-10,
1464,1.58E-10,
1472,1.58E-10,
27244,1.58E-10,
116519,1.58E-10,
684,1.58E-10,
51290,1.58E-10,
57468,1.58E-10,
3704,1.58E-10,
284615,1.58E-10,
58525,1.58E-10,
23310,1.57E-10,
28982,1.57E-10,
5049,1.57E-10,
2906,1.57E-10,
10313,1.57E-10,
5092,1.57E-10,
1585,1.57E-10,
23062,1.57E-10,
64147,1.57E-10,
64093,1.56E-10,
55840,1.56E-10,
4656,1.56E-10,
7109,1.56E-10,
10095,1.56E-10,
3953,1.56E-10,
5715,1.56E-10,
55245,1.56E-10,
3123,1.56E-10,
65258,1.56E-10,
8208,1.56E-10,
51074,1.56E-10,
56897,1.56E-10,
64376,1.56E-10,
752,1.56E-10,
7139,1.56E-10,
58484,1.56E-10,
5447,1.56E-10,
7978,1.55E-10,
4854,1.55E-10,
29121,1.55E-10,
25902,1.55E-10,
220134,1.55E-10,
1018,1.55E-10,
23196,1.55E-10,
8985,1.54E-10,
2665,1.54E-10,
51143,1.54E-10,
221079,1.54E-10,
51141,1.54E-10,
160851,1.54E-10,
22844,1.54E-10,
8522,1.54E-10,
27159,1.54E-10,
3642,1.54E-10,
3514,1.54E-10,
55297,1.54E-10,
5330,1.54E-10,
11167,1.54E-10,
4682,1.54E-10,
5691,1.54E-10,
5869,1.54E-10,
51552,1.54E-10,
1431,1.54E-10,
1388,1.54E-10,
195814,1.54E-10,
3732,1.53E-10,
5742,1.53E-10,
9731,1.53E-10,
55023,1.53E-10,
9768,1.53E-10,
1270,1.53E-10,
129563,1.53E-10,
112495,1.53E-10,
9140,1.53E-10,
23354,1.53E-10,
3020,1.53E-10,
79085,1.53E-10,
755,1.53E-10,
29886,1.52E-10,
60492,1.52E-10,
140462,1.52E-10,
5007,1.52E-10,
3126,1.52E-10,
51002,1.52E-10,
146059,1.52E-10,
10007,1.52E-10,
2189,1.52E-10,
220441,1.52E-10,
140913,1.52E-10,
1269,1.52E-10,
79003,1.52E-10,
1813,1.51E-10,
5074,1.51E-10,
58160,1.51E-10,
54726,1.51E-10,
11325,1.51E-10,
63917,1.51E-10,
23314,1.51E-10,
389421,1.51E-10,
4891,1.51E-10,
48,1.51E-10,
9512,1.51E-10,
10581,1.50E-10,
257218,1.50E-10,
2063,1.50E-10,
2160,1.50E-10,
1791,1.50E-10,
129531,1.50E-10,
146542,1.50E-10,
538,1.50E-10,
26112,1.50E-10,
2806,1.50E-10,
10955,1.50E-10,
7268,1.50E-10,
2053,1.50E-10,
5965,1.50E-10,
54903,1.50E-10,
285193,1.49E-10,
6050,1.49E-10,
80705,1.49E-10,
25862,1.49E-10,
54949,1.49E-10,
4676,1.49E-10,
51433,1.49E-10,
3176,1.49E-10,
54556,1.49E-10,
54103,1.49E-10,
9839,1.49E-10,
11072,1.49E-10,
3490,1.49E-10,
22868,1.49E-10,
7905,1.49E-10,
9910,1.49E-10,
80230,1.48E-10,
84749,1.48E-10,
8013,1.48E-10,
6890,1.48E-10,
79899,1.48E-10,
10367,1.48E-10,
51157,1.48E-10,
3429,1.48E-10,
91782,1.48E-10,
29062,1.48E-10,
84948,1.48E-10,
80331,1.48E-10,
3848,1.48E-10,
79649,1.48E-10,
3454,1.47E-10,
85300,1.47E-10,
8832,1.47E-10,
2692,1.47E-10,
10300,1.47E-10,
846,1.47E-10,
54534,1.47E-10,
5832,1.47E-10,
131405,1.47E-10,
55198,1.47E-10,
55197,1.46E-10,
57152,1.46E-10,
63925,1.46E-10,
2108,1.46E-10,
65059,1.46E-10,
28956,1.46E-10,
3840,1.46E-10,
9459,1.46E-10,
3507,1.46E-10,
3420,1.46E-10,
1462,1.46E-10,
79760,1.45E-10,
523,1.45E-10,
7004,1.45E-10,
8518,1.45E-10,
2812,1.45E-10,
4645,1.45E-10,
6046,1.45E-10,
54882,1.45E-10,
65083,1.45E-10,
83648,1.45E-10,
79607,1.45E-10,
23339,1.45E-10,
57634,1.45E-10,
6817,1.45E-10,
3918,1.45E-10,
639,1.44E-10,
2313,1.44E-10,
5745,1.44E-10,
203,1.44E-10,
5889,1.44E-10,
5510,1.44E-10,
54732,1.44E-10,
6760,1.44E-10,
6288,1.44E-10,
348654,1.43E-10,
84699,1.43E-10,
84419,1.43E-10,
8470,1.43E-10,
80829,1.43E-10,
2888,1.43E-10,
51699,1.43E-10,
5837,1.43E-10,
64855,1.43E-10,
57146,1.42E-10,
93323,1.42E-10,
63971,1.42E-10,
7884,1.42E-10,
64285,1.42E-10,
6836,1.42E-10,
1236,1.42E-10,
57096,1.41E-10,
23047,1.41E-10,
23224,1.41E-10,
2781,1.41E-10,
2752,1.41E-10,
873,1.41E-10,
55622,1.41E-10,
81035,1.41E-10,
6241,1.41E-10,
9577,1.41E-10,
83593,1.41E-10,
10644,1.41E-10,
406932,1.41E-10,
11339,1.41E-10,
57659,1.41E-10,
4485,1.41E-10,
9694,1.41E-10,
153241,1.41E-10,
9079,1.41E-10,
4068,1.41E-10,
79843,1.40E-10,
1620,1.40E-10,
10961,1.40E-10,
161,1.40E-10,
8858,1.40E-10,
23424,1.40E-10,
9497,1.40E-10,
6341,1.40E-10,
80173,1.40E-10,
10053,1.40E-10,
4241,1.40E-10,
23234,1.40E-10,
63915,1.40E-10,
7690,1.40E-10,
9138,1.40E-10,
29922,1.40E-10,
2631,1.39E-10,
11041,1.39E-10,
85439,1.39E-10,
2535,1.39E-10,
7832,1.39E-10,
9454,1.39E-10,
5690,1.39E-10,
6390,1.39E-10,
55584,1.39E-10,
2582,1.39E-10,
128710,1.39E-10,
1468,1.39E-10,
139285,1.39E-10,
7292,1.39E-10,
80198,1.39E-10,
339345,1.39E-10,
11129,1.39E-10,
90480,1.39E-10,
9854,1.38E-10,
2005,1.38E-10,
7482,1.38E-10,
2775,1.38E-10,
55661,1.38E-10,
8317,1.38E-10,
5337,1.38E-10,
10345,1.38E-10,
89941,1.38E-10,
930,1.38E-10,
55651,1.38E-10,
57534,1.37E-10,
9732,1.37E-10,
5133,1.37E-10,
2256,1.37E-10,
8891,1.37E-10,
2212,1.37E-10,
2217,1.37E-10,
8559,1.37E-10,
55005,1.37E-10,
1302,1.37E-10,
10137,1.37E-10,
5414,1.37E-10,
51496,1.37E-10,
388552,1.37E-10,
8894,1.37E-10,
3419,1.37E-10,
153,1.37E-10,
1667,1.36E-10,
10900,1.36E-10,
6251,1.36E-10,
200958,1.36E-10,
3603,1.36E-10,
10240,1.36E-10,
79571,1.36E-10,
1787,1.36E-10,
129401,1.36E-10,
84687,1.36E-10,
9780,1.35E-10,
51626,1.35E-10,
5696,1.35E-10,
406900,1.35E-10,
1871,1.35E-10,
10771,1.35E-10,
9784,1.35E-10,
22978,1.35E-10,
4258,1.35E-10,
124540,1.34E-10,
5692,1.34E-10,
6440,1.34E-10,
9857,1.34E-10,
6016,1.34E-10,
29882,1.34E-10,
51421,1.34E-10,
8462,1.34E-10,
22820,1.34E-10,
1525,1.34E-10,
22974,1.34E-10,
11336,1.34E-10,
140690,1.33E-10,
90273,1.33E-10,
7644,1.33E-10,
7707,1.33E-10,
9722,1.33E-10,
28981,1.33E-10,
26056,1.33E-10,
5942,1.33E-10,
79065,1.33E-10,
2107,1.33E-10,
1438,1.33E-10,
27125,1.33E-10,
144577,1.33E-10,
509,1.33E-10,
57540,1.33E-10,
64062,1.33E-10,
2720,1.32E-10,
85476,1.32E-10,
54577,1.32E-10,
4437,1.32E-10,
6558,1.32E-10,
23413,1.32E-10,
253012,1.32E-10,
5744,1.32E-10,
84675,1.32E-10,
6490,1.32E-10,
2590,1.32E-10,
55758,1.32E-10,
2314,1.32E-10,
2982,1.32E-10,
79005,1.32E-10,
4887,1.31E-10,
2487,1.31E-10,
4153,1.31E-10,
23199,1.31E-10,
3679,1.31E-10,
80024,1.31E-10,
94274,1.31E-10,
26018,1.31E-10,
64410,1.31E-10,
9046,1.31E-10,
3459,1.31E-10,
57555,1.31E-10,
78986,1.31E-10,
8642,1.31E-10,
4913,1.30E-10,
10667,1.30E-10,
5203,1.30E-10,
1717,1.30E-10,
9742,1.30E-10,
51805,1.30E-10,
56160,1.30E-10,
6520,1.30E-10,
677770,1.30E-10,
4781,1.30E-10,
1200,1.30E-10,
23164,1.30E-10,
64429,1.30E-10,
1044,1.30E-10,
9711,1.30E-10,
93145,1.30E-10,
10736,1.30E-10,
1847,1.30E-10,
64328,1.30E-10,
2115,1.30E-10,
80153,1.29E-10,
10678,1.29E-10,
64976,1.29E-10,
143187,1.29E-10,
23126,1.29E-10,
54566,1.29E-10,
441531,1.29E-10,
7424,1.29E-10,
64326,1.29E-10,
60684,1.29E-10,
4647,1.29E-10,
10870,1.29E-10,
6866,1.29E-10,
112817,1.29E-10,
91752,1.29E-10,
53981,1.29E-10,
2079,1.29E-10,
3000,1.28E-10,
114791,1.28E-10,
51166,1.28E-10,
79180,1.28E-10,
9841,1.28E-10,
65010,1.28E-10,
85378,1.28E-10,
151194,1.28E-10,
284654,1.28E-10,
51567,1.28E-10,
9380,1.28E-10,
5533,1.28E-10,
8738,1.27E-10,
406985,1.27E-10,
5653,1.27E-10,
1121,1.27E-10,
79656,1.27E-10,
5617,1.27E-10,
29911,1.27E-10,
51497,1.27E-10,
55109,1.27E-10,
51768,1.26E-10,
9521,1.26E-10,
152,1.26E-10,
79816,1.26E-10,
220,1.26E-10,
57620,1.26E-10,
10435,1.26E-10,
79366,1.26E-10,
55816,1.26E-10,
10549,1.26E-10,
3767,1.25E-10,
79621,1.25E-10,
25839,1.25E-10,
6320,1.25E-10,
55689,1.25E-10,
2628,1.25E-10,
11258,1.25E-10,
11137,1.25E-10,
22849,1.25E-10,
7798,1.25E-10,
56144,1.25E-10,
7343,1.25E-10,
725,1.25E-10,
9027,1.25E-10,
5145,1.25E-10,
2512,1.24E-10,
10260,1.24E-10,
1943,1.24E-10,
273,1.24E-10,
3613,1.24E-10,
57016,1.24E-10,
54955,1.24E-10,
23621,1.24E-10,
2267,1.24E-10,
27037,1.24E-10,
892,1.24E-10,
3433,1.24E-10,
26149,1.24E-10,
6284,1.24E-10,
4898,1.24E-10,
55600,1.24E-10,
4277,1.24E-10,
10954,1.23E-10,
9495,1.23E-10,
2966,1.23E-10,
10712,1.23E-10,
23177,1.23E-10,
2730,1.23E-10,
80834,1.23E-10,
1630,1.23E-10,
55422,1.23E-10,
10914,1.23E-10,
366,1.23E-10,
5438,1.23E-10,
22824,1.23E-10,
26052,1.23E-10,
51335,1.23E-10,
5464,1.23E-10,
57447,1.23E-10,
64780,1.23E-10,
84126,1.22E-10,
5534,1.22E-10,
10226,1.22E-10,
81608,1.22E-10,
3752,1.22E-10,
26762,1.22E-10,
84129,1.22E-10,
245711,1.22E-10,
3083,1.22E-10,
79768,1.22E-10,
10562,1.22E-10,
90806,1.22E-10,
59348,1.22E-10,
51291,1.22E-10,
84908,1.22E-10,
4356,1.22E-10,
27158,1.22E-10,
6369,1.22E-10,
23113,1.22E-10,
257144,1.22E-10,
10463,1.22E-10,
3663,1.22E-10,
22992,1.22E-10,
114803,1.21E-10,
1312,1.21E-10,
54205,1.21E-10,
5360,1.21E-10,
84545,1.21E-10,
26224,1.21E-10,
2639,1.21E-10,
10190,1.21E-10,
3034,1.21E-10,
5224,1.21E-10,
5004,1.21E-10,
5935,1.21E-10,
900,1.21E-10,
64077,1.21E-10,
84922,1.21E-10,
10522,1.20E-10,
221955,1.20E-10,
84220,1.20E-10,
1290,1.20E-10,
2168,1.20E-10,
1033,1.20E-10,
54982,1.20E-10,
84916,1.20E-10,
11177,1.20E-10,
3670,1.20E-10,
55699,1.20E-10,
6775,1.20E-10,
6835,1.20E-10,
93210,1.20E-10,
6932,1.20E-10,
8776,1.20E-10,
1945,1.20E-10,
79810,1.20E-10,
540,1.19E-10,
728378,1.19E-10,
79609,1.19E-10,
10487,1.19E-10,
135228,1.19E-10,
55503,1.19E-10,
6745,1.19E-10,
113251,1.19E-10,
8507,1.19E-10,
9519,1.19E-10,
7812,1.19E-10,
230,1.19E-10,
10978,1.19E-10,
2867,1.19E-10,
30,1.19E-10,
57405,1.19E-10,
165721,1.19E-10,
51046,1.19E-10,
29116,1.19E-10,
638,1.19E-10,
10902,1.18E-10,
7589,1.18E-10,
1152,1.18E-10,
60592,1.18E-10,
3577,1.18E-10,
11014,1.18E-10,
89848,1.18E-10,
65109,1.18E-10,
3703,1.18E-10,
2984,1.18E-10,
79980,1.18E-10,
1674,1.18E-10,
407011,1.18E-10,
11332,1.18E-10,
1155,1.18E-10,
7867,1.18E-10,
148738,1.18E-10,
379,1.18E-10,
5721,1.18E-10,
23089,1.18E-10,
90506,1.18E-10,
91272,1.18E-10,
4940,1.18E-10,
2947,1.18E-10,
29080,1.17E-10,
138639,1.17E-10,
10067,1.17E-10,
5158,1.17E-10,
1740,1.17E-10,
2530,1.17E-10,
55188,1.17E-10,
29775,1.17E-10,
1983,1.17E-10,
6354,1.17E-10,
2258,1.17E-10,
3090,1.17E-10,
479,1.17E-10,
10147,1.17E-10,
5091,1.17E-10,
83637,1.17E-10,
27120,1.17E-10,
55275,1.17E-10,
54606,1.17E-10,
84930,1.17E-10,
5670,1.17E-10,
79751,1.17E-10,
10022,1.17E-10,
55655,1.17E-10,
55339,1.16E-10,
147138,1.16E-10,
5950,1.16E-10,
346171,1.16E-10,
6921,1.16E-10,
83440,1.16E-10,
2158,1.16E-10,
24137,1.16E-10,
7225,1.16E-10,
10857,1.16E-10,
222229,1.16E-10,
10656,1.16E-10,
5208,1.16E-10,
57502,1.16E-10,
406976,1.16E-10,
10573,1.16E-10,
79159,1.16E-10,
10635,1.16E-10,
3930,1.16E-10,
165829,1.16E-10,
11031,1.16E-10,
9655,1.15E-10,
10625,1.15E-10,
5136,1.15E-10,
9918,1.15E-10,
25814,1.15E-10,
9625,1.15E-10,
7458,1.15E-10,
146845,1.15E-10,
64146,1.15E-10,
55352,1.15E-10,
6671,1.15E-10,
7059,1.15E-10,
55684,1.14E-10,
9445,1.14E-10,
10953,1.14E-10,
84456,1.14E-10,
1793,1.14E-10,
5998,1.14E-10,
51272,1.14E-10,
7030,1.14E-10,
10170,1.14E-10,
84866,1.14E-10,
4332,1.14E-10,
1827,1.14E-10,
108,1.14E-10,
115825,1.13E-10,
8242,1.13E-10,
84502,1.13E-10,
8739,1.13E-10,
9197,1.13E-10,
85280,1.13E-10,
3996,1.13E-10,
8131,1.13E-10,
1828,1.13E-10,
84309,1.13E-10,
29090,1.13E-10,
2272,1.13E-10,
51762,1.13E-10,
10471,1.13E-10,
6510,1.13E-10,
149233,1.13E-10,
5694,1.13E-10,
24145,1.13E-10,
114882,1.13E-10,
200186,1.13E-10,
79583,1.13E-10,
51529,1.12E-10,
728358,1.12E-10,
163033,1.12E-10,
8529,1.12E-10,
89978,1.12E-10,
2986,1.12E-10,
23438,1.12E-10,
10721,1.12E-10,
3931,1.12E-10,
6171,1.12E-10,
84913,1.12E-10,
51545,1.12E-10,
23353,1.12E-10,
107,1.12E-10,
54994,1.12E-10,
4619,1.12E-10,
64109,1.12E-10,
114,1.12E-10,
53944,1.12E-10,
10344,1.11E-10,
340547,1.11E-10,
131544,1.11E-10,
23545,1.11E-10,
84656,1.11E-10,
140545,1.11E-10,
923,1.11E-10,
5493,1.11E-10,
80339,1.11E-10,
790,1.11E-10,
192683,1.11E-10,
63922,1.11E-10,
6018,1.11E-10,
3021,1.11E-10,
2935,1.11E-10,
6399,1.10E-10,
3376,1.10E-10,
9443,1.10E-10,
387103,1.10E-10,
26262,1.10E-10,
4054,1.10E-10,
54814,1.10E-10,
6294,1.10E-10,
51297,1.10E-10,
54620,1.10E-10,
10600,1.10E-10,
259249,1.10E-10,
143686,1.10E-10,
57553,1.10E-10,
3605,1.10E-10,
54715,1.10E-10,
54677,1.10E-10,
6834,1.10E-10,
5106,1.09E-10,
2799,1.09E-10,
2207,1.09E-10,
3861,1.09E-10,
23030,1.09E-10,
5225,1.09E-10,
5724,1.09E-10,
6546,1.09E-10,
11330,1.09E-10,
22914,1.09E-10,
4605,1.09E-10,
7336,1.09E-10,
51042,1.09E-10,
54940,1.09E-10,
1394,1.09E-10,
4359,1.09E-10,
4650,1.09E-10,
444,1.09E-10,
3206,1.09E-10,
10257,1.09E-10,
2859,1.09E-10,
7915,1.09E-10,
9308,1.09E-10,
23639,1.09E-10,
9898,1.09E-10,
23252,1.09E-10,
54930,1.09E-10,
5255,1.08E-10,
1579,1.08E-10,
2533,1.08E-10,
653519,1.08E-10,
55998,1.08E-10,
6304,1.08E-10,
6909,1.08E-10,
3600,1.08E-10,
55625,1.08E-10,
2295,1.08E-10,
79720,1.08E-10,
196441,1.08E-10,
5527,1.08E-10,
29074,1.08E-10,
59344,1.08E-10,
7804,1.08E-10,
57410,1.08E-10,
23410,1.08E-10,
79612,1.08E-10,
3155,1.08E-10,
8972,1.07E-10,
64423,1.07E-10,
54865,1.07E-10,
79848,1.07E-10,
23091,1.07E-10,
196883,1.07E-10,
51586,1.07E-10,
23063,1.07E-10,
1911,1.07E-10,
83696,1.07E-10,
29789,1.07E-10,
79188,1.07E-10,
84548,1.07E-10,
55094,1.07E-10,
83444,1.07E-10,
6645,1.07E-10,
9516,1.07E-10,
29980,1.07E-10,
9551,1.07E-10,
56963,1.07E-10,
5002,1.07E-10,
79675,1.07E-10,
2054,1.07E-10,
10802,1.07E-10,
6004,1.06E-10,
23244,1.06E-10,
80124,1.06E-10,
6468,1.06E-10,
10038,1.06E-10,
64241,1.06E-10,
64072,1.06E-10,
85365,1.06E-10,
146691,1.06E-10,
55742,1.06E-10,
56110,1.06E-10,
115727,1.06E-10,
1606,1.06E-10,
4192,1.06E-10,
501,1.06E-10,
151987,1.06E-10,
1307,1.06E-10,
256435,1.06E-10,
4723,1.06E-10,
11076,1.05E-10,
10553,1.05E-10,
119180,1.05E-10,
6541,1.05E-10,
4702,1.05E-10,
118987,1.05E-10,
23786,1.05E-10,
29881,1.05E-10,
56477,1.05E-10,
149951,1.05E-10,
6103,1.05E-10,
63924,1.05E-10,
28985,1.05E-10,
84914,1.05E-10,
56342,1.05E-10,
8562,1.04E-10,
23095,1.04E-10,
23223,1.04E-10,
4795,1.04E-10,
760,1.04E-10,
53349,1.04E-10,
30849,1.04E-10,
2235,1.04E-10,
2974,1.04E-10,
1392,1.04E-10,
9371,1.04E-10,
8672,1.04E-10,
26064,1.03E-10,
54972,1.03E-10,
84818,1.03E-10,
54959,1.03E-10,
1998,1.03E-10,
10681,1.03E-10,
9444,1.03E-10,
64902,1.03E-10,
57504,1.03E-10,
340273,1.03E-10,
55214,1.03E-10,
6351,1.03E-10,
1870,1.03E-10,
7326,1.03E-10,
7064,1.03E-10,
55,1.03E-10,
54926,1.03E-10,
5900,1.03E-10,
4507,1.03E-10,
6792,1.03E-10,
649,1.03E-10,
261729,1.03E-10,
127544,1.03E-10,
6164,1.03E-10,
375307,1.03E-10,
51130,1.03E-10,
6150,1.03E-10,
64426,1.03E-10,
80028,1.03E-10,
51449,1.02E-10,
7163,1.02E-10,
55657,1.02E-10,
5148,1.02E-10,
12,1.02E-10,
1537,1.02E-10,
54499,1.02E-10,
55644,1.02E-10,
83860,1.02E-10,
134285,1.02E-10,
406977,1.02E-10,
8425,1.02E-10,
119391,1.02E-10,
51230,1.02E-10,
55437,1.02E-10,
23294,1.02E-10,
376497,1.02E-10,
23094,1.02E-10,
51806,1.02E-10,
340481,1.02E-10,
3364,1.01E-10,
7442,1.01E-10,
7073,1.01E-10,
6261,1.01E-10,
1060,1.01E-10,
64114,1.01E-10,
8816,1.01E-10,
91404,1.01E-10,
23644,1.01E-10,
94234,1.01E-10,
8482,1.01E-10,
112869,1.01E-10,
9247,1.01E-10,
25928,1.01E-10,
7432,1.01E-10,
55614,1.01E-10,
5000,1.01E-10,
2903,1.01E-10,
55967,1.01E-10,
6532,1.01E-10,
200576,1.01E-10,
23086,1.01E-10,
55719,1.01E-10,
3484,1.01E-10,
221150,1.01E-10,
9330,1.01E-10,
25932,1.01E-10,
56776,1.01E-10,
2803,1.00E-10,
147372,1.00E-10,
132884,1.00E-10,
51692,1.00E-10,
348110,1.00E-10,
2224,1.00E-10,
9781,1.00E-10,
84838,1.00E-10,
26958,1.00E-10,
56125,1.00E-10,
1636,9.99E-11,
84522,9.99E-11,
10274,9.98E-11,
6373,9.98E-11,
7122,9.98E-11,
64770,9.96E-11,
570,9.96E-11,
440026,9.96E-11,
403313,9.95E-11,
1131,9.95E-11,
284119,9.94E-11,
57679,9.92E-11,
9670,9.92E-11,
65005,9.92E-11,
5791,9.92E-11,
6531,9.92E-11,
57594,9.92E-11,
790955,9.92E-11,
5981,9.91E-11,
30008,9.91E-11,
10973,9.91E-11,
117194,9.91E-11,
55323,9.90E-11,
6877,9.90E-11,
9604,9.89E-11,
23576,9.89E-11,
23746,9.88E-11,
54962,9.88E-11,
57708,9.88E-11,
10526,9.88E-11,
3150,9.88E-11,
2004,9.87E-11,
3494,9.87E-11,
22891,9.86E-11,
10865,9.86E-11,
653121,9.85E-11,
23567,9.85E-11,
10200,9.84E-11,
3672,9.83E-11,
54148,9.83E-11,
9892,9.82E-11,
6897,9.81E-11,
54869,9.81E-11,
23219,9.80E-11,
57418,9.80E-11,
10558,9.79E-11,
56970,9.79E-11,
4166,9.79E-11,
2555,9.79E-11,
81926,9.78E-11,
3880,9.78E-11,
4607,9.78E-11,
6305,9.78E-11,
9603,9.78E-11,
196528,9.77E-11,
7941,9.76E-11,
3710,9.76E-11,
4350,9.76E-11,
57617,9.76E-11,
4692,9.76E-11,
9776,9.75E-11,
5504,9.75E-11,
139135,9.75E-11,
492,9.74E-11,
5876,9.73E-11,
4801,9.73E-11,
64061,9.72E-11,
51251,9.71E-11,
550,9.70E-11,
6301,9.70E-11,
131,9.69E-11,
6019,9.69E-11,
27089,9.69E-11,
11020,9.68E-11,
221264,9.68E-11,
79991,9.68E-11,
5191,9.66E-11,
5190,9.65E-11,
5238,9.64E-11,
80122,9.64E-11,
54919,9.64E-11,
5972,9.62E-11,
8615,9.61E-11,
54737,9.60E-11,
8558,9.60E-11,
51373,9.60E-11,
29993,9.59E-11,
9098,9.58E-11,
55851,9.58E-11,
3596,9.58E-11,
79143,9.58E-11,
2021,9.57E-11,
23370,9.56E-11,
23173,9.56E-11,
2767,9.54E-11,
8890,9.54E-11,
23590,9.53E-11,
406933,9.52E-11,
4720,9.52E-11,
3671,9.52E-11,
2879,9.50E-11,
10278,9.50E-11,
51495,9.50E-11,
10220,9.49E-11,
10478,9.49E-11,
359,9.48E-11,
4342,9.48E-11,
10743,9.48E-11,
6820,9.48E-11,
2356,9.47E-11,
2125,9.47E-11,
7386,9.47E-11,
197,9.47E-11,
282991,9.46E-11,
154810,9.46E-11,
6008,9.46E-11,
81892,9.45E-11,
26985,9.45E-11,
55749,9.44E-11,
1265,9.44E-11,
113235,9.43E-11,
83746,9.42E-11,
10469,9.42E-11,
143098,9.42E-11,
10687,9.41E-11,
81873,9.41E-11,
57561,9.41E-11,
4312,9.41E-11,
23633,9.40E-11,
64949,9.40E-11,
2277,9.39E-11,
147841,9.39E-11,
55250,9.39E-11,
55362,9.38E-11,
55771,9.37E-11,
4281,9.36E-11,
112939,9.36E-11,
10621,9.36E-11,
30835,9.36E-11,
15,9.36E-11,
1456,9.34E-11,
54520,9.34E-11,
51368,9.33E-11,
85453,9.33E-11,
1284,9.33E-11,
284996,9.33E-11,
23046,9.32E-11,
8527,9.32E-11,
7089,9.32E-11,
164668,9.32E-11,
10009,9.31E-11,
91689,9.31E-11,
374,9.31E-11,
64951,9.31E-11,
2222,9.30E-11,
64979,9.30E-11,
29115,9.30E-11,
55703,9.29E-11,
79982,9.29E-11,
56478,9.29E-11,
57658,9.28E-11,
11119,9.27E-11,
26330,9.26E-11,
23495,9.26E-11,
23338,9.25E-11,
4726,9.24E-11,
6249,9.23E-11,
81839,9.23E-11,
4830,9.22E-11,
26580,9.21E-11,
54881,9.20E-11,
79726,9.20E-11,
4076,9.20E-11,
81887,9.20E-11,
50674,9.20E-11,
23268,9.20E-11,
22837,9.20E-11,
64421,9.19E-11,
51537,9.19E-11,
80174,9.19E-11,
116254,9.18E-11,
65008,9.18E-11,
5913,9.18E-11,
55353,9.18E-11,
10927,9.18E-11,
11132,9.17E-11,
9867,9.17E-11,
55553,9.16E-11,
5648,9.16E-11,
781,9.15E-11,
6480,9.15E-11,
344558,9.15E-11,
25906,9.13E-11,
57699,9.13E-11,
54741,9.12E-11,
728071,9.12E-11,
9921,9.12E-11,
142685,9.11E-11,
9801,9.10E-11,
