nodelist,protein_product_fost,
4851,9.79E-09,
27185,9.74E-09,
6885,9.70E-09,
5597,9.67E-09,
1869,9.63E-09,
5499,9.61E-09,
7314,9.61E-09,
8569,9.56E-09,
50488,9.54E-09,
2597,9.52E-09,
3181,9.51E-09,
2255,9.50E-09,
51741,9.49E-09,
10859,9.47E-09,
55054,9.44E-09,
4504,9.44E-09,
6591,9.44E-09,
3676,9.42E-09,
329,9.39E-09,
9040,9.37E-09,
7337,9.34E-09,
57787,9.26E-09,
2908,9.25E-09,
10155,9.21E-09,
1616,9.19E-09,
57551,9.19E-09,
8600,9.18E-09,
572,9.17E-09,
22848,9.16E-09,
5753,9.14E-09,
1198,9.02E-09,
386675,9.00E-09,
8945,8.98E-09,
154,8.98E-09,
5663,8.96E-09,
7297,8.94E-09,
3066,8.92E-09,
1052,8.71E-09,
200728,8.67E-09,
29979,8.66E-09,
26003,8.58E-09,
58508,8.54E-09,
3838,8.53E-09,
5315,8.51E-09,
3984,8.48E-09,
6118,8.47E-09,
80149,8.46E-09,
358,8.46E-09,
3881,8.44E-09,
1915,8.42E-09,
4217,8.40E-09,
1642,8.38E-09,
11030,8.36E-09,
6035,8.35E-09,
4771,8.30E-09,
225689,8.30E-09,
10211,8.28E-09,
65125,8.23E-09,
9252,8.22E-09,
7301,8.21E-09,
8878,8.20E-09,
3064,8.16E-09,
2247,8.15E-09,
5914,8.13E-09,
7846,8.12E-09,
6598,8.12E-09,
6434,8.10E-09,
5871,8.07E-09,
79837,7.98E-09,
8924,7.94E-09,
6597,7.93E-09,
10890,7.91E-09,
10014,7.88E-09,
4926,7.86E-09,
8826,7.86E-09,
84708,7.85E-09,
3688,7.81E-09,
6093,7.80E-09,
891,7.75E-09,
2065,7.75E-09,
546,7.75E-09,
9146,7.69E-09,
3198,7.69E-09,
23281,7.69E-09,
148327,7.68E-09,
26511,7.65E-09,
2332,7.62E-09,
10634,7.59E-09,
6929,7.59E-09,
81620,7.58E-09,
213,7.57E-09,
10461,7.56E-09,
56257,7.55E-09,
9201,7.55E-09,
3304,7.53E-09,
10059,7.49E-09,
10492,7.48E-09,
2668,7.48E-09,
9564,7.47E-09,
8491,7.45E-09,
10533,7.43E-09,
335,7.42E-09,
5936,7.34E-09,
1942,7.32E-09,
9967,7.30E-09,
11183,7.27E-09,
55832,7.26E-09,
841,7.24E-09,
947,7.24E-09,
4478,7.23E-09,
7272,7.20E-09,
9370,7.19E-09,
30011,7.16E-09,
4092,7.16E-09,
1107,7.11E-09,
9175,7.11E-09,
4041,7.09E-09,
3611,7.09E-09,
821,7.08E-09,
5901,7.08E-09,
8473,7.07E-09,
7291,7.06E-09,
660,7.01E-09,
5054,7.01E-09,
22933,6.99E-09,
678,6.99E-09,
8417,6.96E-09,
6472,6.94E-09,
6647,6.94E-09,
2091,6.93E-09,
6732,6.89E-09,
22919,6.86E-09,
10075,6.82E-09,
10318,6.82E-09,
407006,6.81E-09,
9349,6.80E-09,
5119,6.77E-09,
6135,6.75E-09,
3418,6.74E-09,
65992,6.72E-09,
4208,6.70E-09,
4057,6.68E-09,
2353,6.66E-09,
1147,6.62E-09,
29108,6.62E-09,
10524,6.60E-09,
675,6.60E-09,
84254,6.58E-09,
6950,6.56E-09,
9874,6.53E-09,
9353,6.53E-09,
8841,6.51E-09,
3428,6.50E-09,
10456,6.49E-09,
5359,6.48E-09,
655,6.48E-09,
7341,6.47E-09,
25980,6.47E-09,
7150,6.46E-09,
4086,6.45E-09,
81788,6.43E-09,
50943,6.43E-09,
1906,6.43E-09,
10010,6.41E-09,
27330,6.37E-09,
55835,6.35E-09,
149628,6.32E-09,
25989,6.32E-09,
1487,6.30E-09,
57142,6.28E-09,
6615,6.27E-09,
26986,6.25E-09,
9748,6.25E-09,
10575,6.25E-09,
5571,6.23E-09,
5604,6.22E-09,
2050,6.20E-09,
9262,6.19E-09,
1601,6.18E-09,
9943,6.17E-09,
10980,6.16E-09,
805,6.16E-09,
5500,6.14E-09,
9263,6.12E-09,
7277,6.08E-09,
641,6.08E-09,
5596,6.07E-09,
23235,6.07E-09,
3609,6.04E-09,
2264,6.04E-09,
8766,6.04E-09,
6386,6.03E-09,
3569,6.03E-09,
22943,6.01E-09,
999,6.01E-09,
240,6.00E-09,
4131,5.99E-09,
6497,5.99E-09,
4915,5.97E-09,
79577,5.97E-09,
